作者,粉丝,标题,点赞,硬币,收藏,分享,弹幕,播放,评论,时长,上传时间,爬取时间,频道,标签,分区,时间
那就看个球,221,世界足坛名场面《布拉特-没人比我更懂腐败》,10004,71,995,87,22,110371,70,23,2021/12/23 22:52,2021/12/25 17:59,世界杯 足球 体育,运动 篮球·足球,sports,1.796099537
足球巨匠,35374,金嗓子骗局！中国大妈花30万宴请罗纳尔多，小作坊瞬间变上市公司,4069,54,294,187,129,187935,347,201,2021/12/21 21:18,2021/12/25 17:59,西甲 世界杯 欧冠 足球 体育,运动 篮球·足球,sports,3.861481481
音妮sarah,3810,【中字】Yuuka Sagawa日本体态矫正天花板【14 天第 1 天】双下巴+面部脂肪+颈部脂肪|娃娃脸看起来更年轻,3510,1235,13842,468,18,76549,73,531,2021/12/19 21:00,2021/12/25 17:59,减肥 日本 健身,运动 健身,sports,5.874282407
叫我又又酱,288,【莎头VS莎头】听说你们想看莎头自己跟自己打一架？这就安排！,5072,4572,3527,595,416,33490,352,81,2021/12/23 6:00,2021/12/25 17:59,乒乓球 体育,运动 竞技体育,sports,2.499513889
AirChina韩雨洋,58311,想要开春猛如虎，冬天室外也得练起来！最后居然被他装到了,7605,61,549,12,11,117184,48,104,2021/12/23 17:06,2021/12/25 17:59,这就是篮球 篮球教学 篮球 体育,运动 篮球·足球,sports,2.037199074
闫帅奇,1671518,圆肩、肩弹响疼痛，这个体态让你越练越差！,3693,1343,3849,146,40,59594,123,139,2021/12/22 18:00,2021/12/25 17:59,2021健身日记 健康 减肥 健身,运动 健身,sports,2.9996875
兴趣使然的拳手,32630,算是第一章步伐训练的总结吧，正经东西没人看，继续传授心法吧哈哈哈,3242,800,2801,73,28,89757,113,60,2021/12/22 19:31,2021/12/25 17:59,拳击 体育,运动 竞技体育,sports,2.936319444
零天赋射手,292342,为什么冬训？ 怎么冬训？国家一级运动员的冬训思路,121229,15405,83358,2983,1201,3727688,1295,303,2021/12/10 16:00,2021/12/25 17:59,田径 跑步,运动 健身,sports,15.08311343
赖益烨_,177195,来自160公斤的对抗！这重量，我能顶住吗？,7443,79,157,43,157,118218,142,165,2021/12/24 10:11,2021/12/25 17:59,创作加成计划 篮球 体育,运动 篮球·足球,sports,1.325578704
黑猫厨房,3784701,忍不住戳一下，下一秒我馋哭了！,125139,23109,8629,1045,5460,1457812,1310,521,2021/12/19 16:31,2021/12/25 18:00,小吃 美食,运动 竞技体育,sports,6.061678241
Air_China杨浩,39529,其实大家离解锁扣篮只差一点细节的改变,8135,36,226,15,79,107377,46,187,2021/12/22 17:36,2021/12/25 18:00,这就是篮球 篮球 体育,运动 篮球·足球,sports,3.016516204
Journey滑板,75911,离谱！9.9分的滑板动作居然这么简单？,6738,3499,647,64,1008,86628,250,821,2021/12/23 20:31,2021/12/25 18:00,滑板 户外 搞笑,运动 运动综合,sports,1.895185185
刘逗逗不怎么逗,688054,节日氛围拉满！5首燃脂舞连跳 新年圣诞双旦快乐瘦身！仪式感氛围感舞蹈 UNIQ新年快乐,3545,1236,2566,253,106,71589,154,1019,2021/12/23 20:01,2021/12/25 18:00,2021健身日记 健康 减肥 健身,运动 健身,sports,1.915636574
酒武大侠,7565,老爷子的发力更强,15302,198,3137,181,109,460130,475,11,2021/12/10 9:08,2021/12/25 18:00,,运动 运动综合,sports,15.36912037
汉青书半霍去病,170263,参观拜仁主场吃德国烤肠 向导竟“点名批评”阿森纳？,6116,2695,947,433,3303,72865,598,1079,2021/12/23 8:00,2021/12/25 18:00,拜仁 德甲 欧冠 德国 足球 体育,运动 篮球·足球,sports,2.417037037
雨说体育徐静雨,353804,【徐静雨】库里爆砍46分，率超级残阵力克全阵容强队灰熊！,4301,1002,238,228,1417,104769,1379,390,2021/12/24 14:37,2021/12/25 18:00,街球 詹姆斯 湖人 篮球 体育,运动 篮球·足球,sports,1.140925926
范李猿,595652,每天12分钟 改变圆肩驼背 轻松塑形提升气质0基础瑜伽 |开肩拔背 简单易坚持 4K,76167,38831,108985,7246,1237,1963035,1367,1602,2021/11/29 18:00,2021/12/25 18:00,2021健身日记 瑜伽 健康 健身,运动 健身,sports,26.00040509
老李船长,189712,"在现场看 ""詹姆斯"" 打球！是什么体验！？",6448,959,815,304,823,104128,182,588,2021/12/22 12:35,2021/12/25 18:00,詹姆斯 湖人 篮球 体育,运动 篮球·足球,sports,3.226261574
体坛速侃,1528,判我犯规是吗？这次让你们碰不到我！,404466,1394,18372,461,1247,2886213,1388,71,2021/11/27 14:59,2021/12/25 18:00,体育,运动 竞技体育,sports,28.12611111
程foye,37565,一点没夸张！超级带感！又忍不住跳了20遍啊！,59110,3353,70184,1715,177,988786,319,209,2021/11/28 18:30,2021/12/25 18:01,2021健身日记 减肥 健身,运动 健身,sports,26.97975694
存在即是上上签,1602,恭喜羽生结弦4A成功 人类花滑史上的重大突破,8386,212,1418,293,39,61009,79,31,2021/12/23 19:44,2021/12/25 18:01,羽生结弦 花样滑冰 体育,运动 竞技体育,sports,1.928321759
滑雪研究院,13094,滑雪场的门票为什么这么贵  开滑雪场到底赚不赚钱 这条视频高速你,889,206,567,105,57,385443,116,370,2021/10/30 16:56,2021/12/25 18:01,滑雪 极限运动,运动 运动综合,sports,56.04516204
脚踝终结者8,38423,有 效 变 向,7593,1134,2182,224,208,208687,88,267,2021/12/20 19:28,2021/12/25 18:01,路人王 街球 篮球教学 篮球 体育,运动 篮球·足球,sports,4.939525463
弹跳超人Dexton,61279,开箱一款“球场禁鞋”！惊人的弹跳力让你轻松暴扣,6988,695,2466,40,39,402505,49,182,2021/12/16 10:06,2021/12/25 18:01,篮球教学 篮球 体育,运动 篮球·足球,sports,9.329861111
爆梗体坛,935,这脚绝平世界波，让武磊的名字响彻云霄,5640,8,111,3,4,98370,56,16,2021/12/23 13:14,2021/12/25 18:01,武磊 足球 体育,运动 篮球·足球,sports,2.199328704
大瑶在努力呀,3565,跳绳6个月，瘦了20斤后的差别，yyds跳绳真香了。现在回头看自己觉得之前的自己挺搞笑的了。感谢努力坚定的自己,66297,2198,33914,5330,305,1813316,1622,92,2021/12/12 11:04,2021/12/25 18:01,减肥 健身,运动 健身,sports,13.28950231
极限台球,861,没有花里胡哨的杆法,2717,19,269,30,14,111910,50,96,2021/12/22 13:18,2021/12/25 18:01,创作加成计划 台球,运动 运动综合,sports,3.196875
张照洋,54763,长得确实比我帅,6393,38,151,13,112,127782,95,156,2021/12/22 10:34,2021/12/25 18:01,篮球 体育,运动 篮球·足球,sports,3.31068287
Insta360,202991,跳崖的第一视角！腿软了！,35915,191,5321,403,142,691039,222,12,2021/12/16 19:16,2021/12/25 18:01,孙悟空 极限运动,运动 运动综合,sports,8.948333333
游生日记,323720,小伙一B站小时2540俯卧撑,171703,84043,16461,4931,6353,2372093,3954,3665,2021/12/12 19:30,2021/12/25 18:01,2021健身日记 健身,运动 健身,sports,12.93886574
再玩法师坐牢,7350,2021 CYML 全国悠悠球大赛 女子组决赛 孟子煜 （竖屏版）,276330,17457,36019,20191,3405,2361406,5692,129,2021/12/13 11:35,2021/12/25 18:02,火力少年王 悠悠球,运动 运动综合,sports,12.26829861
负哥们夺夺,2488,《法甲球门有问题》,3348,2268,484,643,115,71765,785,79,2021/12/24 1:30,2021/12/25 18:02,C罗 梅西,运动 篮球·足球,sports,1.688738426
篮球fans研究所,36290,中年妇女收割机——“懂事长篮球”,2766,67,523,988,140,99746,214,101,2021/12/24 16:46,2021/12/25 18:02,街球 篮球 体育 搞笑,运动 篮球·足球,sports,1.052777778
王孟南台球教学,71082,「台球路人局」突遇挑衅！,14117,78,504,72,149,306930,127,219,2021/12/19 17:00,2021/12/25 18:02,台球,运动 运动综合,sports,6.043263889
模仿帝陈挑战,109622,这小伙子胆儿挺肥，都敢模仿乔丹了？,5957,89,185,21,58,95439,102,43,2021/12/22 14:55,2021/12/25 18:02,乔丹 体育,运动 篮球·足球,sports,3.129664352
Mr彦Alex,632568,1小时燃烧600卡！春节前瘦五斤靠它了！！欢乐燃脂舞60分钟合集来啦！！！,22456,12430,80777,4055,985,556504,1137,3669,2021/12/9 13:14,2021/12/25 18:02,2021健身日记 S.H.E 周杰伦 时代少年团 减肥 健身,运动 健身,sports,16.20016204
a窦娥君,82,我的170圆梦时刻,25100,293,2174,12,36,1866577,156,77,2021/11/23 2:31,2021/12/25 18:02,,运动 运动综合,sports,32.6468287
站投三分,3480,这压腕真的漂亮，别再说自己投不到三分是因为力气小了！,3340,134,880,805,206,116245,314,187,2021/12/21 23:06,2021/12/25 18:02,2021倒计时 篮球教学 篮球 体育 必剪创作,运动 篮球·足球,sports,3.788865741
張忠興,1035692,”六门学科你最喜欢哪一门？ 我：体育”,5605,305,139,40,322,76014,310,863,2021/12/22 21:53,2021/12/25 18:02,无限搞笑公司 篮球 体育 搞笑,运动 篮球·足球,sports,2.840069444
用武之地讲武学堂,97543,街头冲突多出现这种状况，防身高手教你轻松化解！,11305,316,7341,108,209,621947,449,74,2021/12/2 18:25,2021/12/25 18:03,功夫 格斗 体育,运动 运动综合,sports,22.98429398
10号阴谋家,8808,里皮不想跟德国踢点球，加时赛上四前锋对攻，意大利左后卫立功了,646,57,159,81,286,105314,141,503,2021/12/22 18:29,2021/12/25 18:03,世界杯 足球 体育,运动 篮球·足球,sports,2.981840278
体育中的佼佼者,736,温哥华冬奥会闭幕式以自嘲式承认错误,155068,78,6717,33,27,1654957,359,21,2021/12/12 12:04,2021/12/25 18:03,体育,运动 竞技体育,sports,13.24936343
GYM健身基础动作教学,58948,"【众测有效】跟练过百万打造完美腹肌训练动作，每天15分钟2-3周见效,GYM健身基础动作教学,腹肌日",6449,4810,22393,550,273,123190,479,237,2021/12/2 14:13,2021/12/25 18:03,2021健身日记 马甲线 减肥 健身,运动 健身,sports,23.15957176
GANGSTER球生之路,1883,吴勇豪全网首次回应：不打职业的真实原因,3622,597,3093,2125,344,44712,189,526,2021/12/22 12:53,2021/12/25 18:03,篮球 体育,运动 篮球·足球,sports,3.215474537
极速拍档,1647537,男人为什么要努力,73279,24469,6806,1879,5903,715293,1314,994,2021/12/24 20:01,2021/12/25 18:03,豪车 汽车,汽车 汽车生活,car,0.917824074
十三要和拳头,203478,台风前的雨天，我们把房车开进了轮船里去海南岛！【VanLife】,49744,5968,1697,344,1522,436534,511,454,2021/12/22 18:00,2021/12/25 18:03,房车 情侣 汽车 旅游 vlog,汽车 汽车生活,car,3.002384259
蜗牛视频丶,1236,不接受更换电池价格 芬兰男子怒炸特斯拉汽车,65705,1981,3206,3506,910,877818,2120,67,2021/12/20 21:34,2021/12/25 18:03,特斯拉 汽车,汽车 汽车生活,car,4.853599537
安全交通警示录,16030,暴走团疯狂作死，霸占快车道，下一秒后排惨遭KO,32837,4826,2066,665,1803,1156066,1356,152,2021/12/20 15:39,2021/12/25 18:03,汽车生活 摩托车 汽车,汽车 汽车生活,car,5.10037037
AMCC肌肉车俱乐部,243050,网红大蛇的车主惨遭网暴，今天还原一个真相,15251,62,879,94,137,385272,132,140,2021/12/22 16:35,2021/12/25 18:03,跑车 汽车,汽车 汽车生活,car,3.061342593
戴表哥,23198,不造车的华为再出手，AITO问界M5全网首试「戴表哥」,10705,1340,1244,4019,3017,345002,2208,626,2021/12/23 17:48,2021/12/25 18:03,科技猎手 汽车,汽车 智能出行,car,2.010590278
极速拍档-NANA,395718,当年被奉为神的JDM，现在一文不值！,12964,2859,1800,938,2816,289984,815,1108,2021/12/22 19:06,2021/12/25 18:04,跑车 机械 汽车,汽车 汽车生活,car,2.956458333
终极小腾,1803916,内蒙牧民家可以有多大？占地面积900个足球场！,22706,3416,1184,366,2471,218743,443,514,2021/12/25 10:00,2021/12/25 18:04,汽车 旅游 搞笑,汽车 汽车生活,car,0.33619213
村长托马斯,211158,【村长F1】终局之战：上帝之手！21R22阿布扎比,12487,10591,3388,896,2375,103846,1204,1187,2021/12/24 19:05,2021/12/25 18:04,赛车 汽车,汽车 汽车文化,car,0.95712963
稻香村里稻花香,41080,晚高峰协助骑警为重病患儿紧急开道至儿研所 全程路口交通管制,8237,5450,1405,632,1311,198571,529,1197,2021/12/22 21:27,2021/12/25 18:04,摩托车 汽车,汽车 摩托车,car,2.858599537
小伍玩车,22951,两个后轮同时掉下路坎详细教学，手把手教你如何轻松自救。,49774,11619,7834,2123,4030,1723650,2226,345,2021/12/18 22:25,2021/12/25 18:04,汽车,汽车 汽车生活,car,6.818460648
Upspeed盛嘉成,701418,又双叕提一辆超跑是什么体验？B站首台 992 GT3 CUP,16957,2630,1255,564,874,149504,344,353,2021/12/24 12:10,2021/12/25 18:04,跑车 赛车 汽车 搞笑,汽车 汽车生活,car,1.246122685
初三的房车生活i,1218,暴雨夜房车突然剧烈晃动，打开窗户看到了什么？,1452,117,1030,2,11,1238157,25,65,2021/11/25 21:30,2021/12/25 18:04,创作加成计划 房车 自驾游 汽车 旅游,汽车 汽车生活,car,29.85694444
街边的养猫人,1928,想蹭ETC 还得看我拔卡的速度允不允许 结局大快人心,404140,26375,38905,34976,4279,6101435,10786,149,2021/12/4 23:22,2021/12/25 18:04,交通安全日特别行动 汽车,汽车 汽车生活,car,20.77907407
张哥的汽车Vlog,127975,就算是辆工具车也要洗得干干净净！,10142,836,625,225,1094,198303,376,446,2021/12/23 13:07,2021/12/25 18:04,汽车,汽车 汽车生活,car,2.206655093
吃瓜电影66,291,外卖小哥被警察追了几条街，后果严重到要坐牢,3821,323,1372,166,576,987448,326,364,2021/12/15 4:35,2021/12/25 18:04,创作加成计划 汽车,汽车 摩托车,car,10.56226852
杨旭游记,718739,杨旭开着房车到了西昌，睡在邛海旁，在10平米的车上开始过家家,12074,3244,665,151,3291,143710,479,603,2021/12/23 19:00,2021/12/25 18:05,房车 户外 汽车 旅游,汽车 汽车生活,car,1.961666667
备胎说车,1324718,30万的BBA，为什么还不如几万块的面包车耐用？,9374,2901,778,170,779,155993,629,489,2021/12/23 17:45,2021/12/25 18:05,论文说车 汽车,汽车 汽车生活,car,2.01369213
超级流浪师,38440,大学毕业，五年追逐让梦想照进现实！,8409,6318,2767,711,820,97107,438,1078,2021/12/23 12:00,2021/12/25 18:05,汽车 旅游,汽车 汽车生活,car,2.253402778
易车横评,161986,星越L麋鹿破纪录！瑞虎8加速油耗制霸全场！热门国货SUV谁强？,7763,5309,1546,1068,4155,107966,1528,2701,2021/12/24 11:00,2021/12/25 18:05,汽车,汽车 购车攻略,car,1.295138889
我记得你你给我点过赞,565,当碰瓷的遇上加塞的……意外的是……,6629,36,483,209,141,192511,96,134,2021/12/23 11:58,2021/12/25 18:05,汽车 必剪创作,汽车 汽车生活,car,2.254861111
38号不只会评车,152499,韩系法系同病相怜，凡尔赛为什么必须降价,8367,2204,425,219,1606,146295,1478,333,2021/12/23 10:00,2021/12/25 18:05,汽车,汽车 汽车生活,car,2.336956019
你溜溜哥,461928,【溜溜哥】 一个改装车UP主的自白 TWT#30,7938,9539,2974,506,1378,53605,611,2464,2021/12/24 20:46,2021/12/25 18:05,赛车 汽车,汽车 汽车文化,car,0.8884375
2021注定不平凡,783,听一曲周杰伦的搁浅，你们说售价150多万的奔驰电动旗舰EQS会搁浅么？,1273,180,662,1879,167,185675,792,238,2021/12/22 18:00,2021/12/25 18:05,创作加成计划 周杰伦 汽车,汽车 汽车生活,car,3.003831019
爱车的戴戴,24603,把绝版神车开到4S店，会有什么反应？,6684,77,418,69,141,184297,202,193,2021/12/22 12:51,2021/12/25 18:05,跑车 汽车,汽车 汽车生活,car,3.218310185
吴佩频道,34008,华为光环戴到头上的AITO问界M5 有没有华为手机这么牛？| 吴佩频道,2811,374,325,1175,1909,176393,1011,821,2021/12/23 17:00,2021/12/25 18:05,汽车,汽车 购车攻略,car,2.045532407
房车GO,66339,国内首创硬升顶四驱房车，实现2人旅行空间还能下地库,85712,2289,33679,5154,1006,2840995,1601,119,2021/12/14 20:22,2021/12/25 18:05,汽车,汽车 购车攻略,car,10.90527778
千面绅士,147,叫了代驾，钱也白花了，人也进去了！,38294,33,924,85,22,676574,239,49,2021/12/19 12:09,2021/12/25 18:06,汽车 搞笑 必剪创作,汽车 汽车生活,car,6.24775463
小明不背锅,896836,818期：一人酒驾，四人全没！,9191,656,468,160,2320,115881,486,527,2021/12/24 11:30,2021/12/25 18:06,机械 汽车,汽车 汽车生活,car,1.274930556
360记录仪车祸现场,8301,车丢了两个月，居然还能遇到，偷车贼自己偷车自己骑，人已经被逮了。,68707,216,4720,357,747,1469567,1255,209,2021/12/5 23:01,2021/12/25 18:06,汽车 必剪创作,汽车 摩托车,car,19.7952662
车祸警示,10663,骑手不慎卷入公交车轮下，当场爆头，身首异处,3758,322,631,689,228,157237,362,134,2021/12/22 12:44,2021/12/25 18:06,摩托车 汽车,汽车 汽车生活,car,3.223344907
吴_宪,389707,在遥远的边境，有一个少有人知的民族，默默守护着那片土地，他们是帕米尔高原的雄鹰,125614,94585,20617,5048,7587,1834658,3212,744,2021/12/17 8:00,2021/12/25 18:06,汽车 旅游,汽车 摩托车,car,8.421099537
麦扣冯_,195,别克gl8座椅改装家用电脑椅，电动控制，座椅加热，分享安装过程给大家,6021,319,2975,4370,182,279869,576,178,2021/12/20 16:13,2021/12/25 18:06,冬日学习计划 汽车,汽车 汽车生活,car,5.078553241
小狮子佑酱,153057,我找到了一个卖茅台发家致富的秘笈！！！,7860,2377,711,579,1335,87599,400,1024,2021/12/23 18:05,2021/12/25 18:06,摩托车 汽车 旅游 搞笑,汽车 摩托车,car,2.001076389
Polestar极星,2780,“星”车预告！揭开极星5 的神秘面纱,2550,249,505,730,181,465758,547,235,2021/11/23 21:00,2021/12/25 18:06,汽车,汽车 汽车极客,car,31.87956019
38号车评中心官方账号,665259,38号做实验测试凡尔赛加速抖动之二——中控台测试,6691,1228,233,97,272,101300,863,88,2021/12/22 19:00,2021/12/25 18:06,汽车,汽车 汽车生活,car,2.962916667
聆微鉴车,879,什么叫黑马！比亚迪凭借一己之力，干翻3大车企，特斯拉已经哭晕,5803,1030,522,414,622,127188,889,344,2021/12/21 17:17,2021/12/25 18:06,特斯拉 汽车,汽车 汽车生活,car,4.034224537
谭乔,3011977,【谭谈挑战】谭警官VS重庆司机：你怎么平地还熄火？,47842,22051,3497,1231,4225,763919,1485,609,2021/12/19 19:48,2021/12/25 18:06,汽车 综艺 搞笑,汽车 汽车生活,car,5.929166667
1分叮,6620,堵车时最前面的车在干吗？,192149,1809,15208,1964,860,1992803,2499,48,2021/12/2 13:12,2021/12/25 18:07,知识分享官 汽车 科普,汽车 汽车生活,car,23.20446759
路上那些事儿,13473,蹭ETC被识破结果恼羞成怒撞视频车,4686,70,156,100,1147,220701,379,306,2021/12/21 12:00,2021/12/25 18:07,交通安全日特别行动 汽车 必剪创作,汽车 汽车生活,car,4.254953704
牛车实验室,42576,奥迪RS7，豪华性能车，却被用来玩儿这些东西？,2561,42,160,30,121,117157,173,109,2021/12/22 18:31,2021/12/25 18:07,跑车 汽车,汽车 汽车生活,car,2.983275463
百车全说,113288,不买奥迪A6L的理由,4799,2197,606,222,979,79095,714,470,2021/12/24 20:51,2021/12/25 18:07,汽车,汽车 购车攻略,car,0.886111111
沙奔的汽车笔录,189777,给车系红绳，万万使不得,6397,890,172,31,323,86802,322,247,2021/12/23 16:42,2021/12/25 18:07,汽车,汽车 购车攻略,car,2.059108796
大鹏快开车,13655,10小时！2辆极氪001！全部趴窝！冬天就能跑这么远？,4525,2374,468,236,948,78773,518,815,2021/12/24 16:42,2021/12/25 18:07,汽车评测 特斯拉 汽车,汽车 汽车生活,car,1.059143519
网约车热点,244,跑滴滴高收入的原因找到！,1404,0,35,2,1,121447,36,11,2021/12/22 10:23,2021/12/25 18:07,汽车,汽车 汽车生活,car,3.322118056
机饿青春,27853,⚡这 就 是 五 星 乳 业 2⚡【机饿F1】,3137,389,492,86,211,90796,101,131,2021/12/22 20:00,2021/12/25 18:07,汽车,汽车 汽车文化,car,2.921805556
杨慢慢追风逐日,83650,网络热门事故分析：现在加个油，都得飘移入库抢位置了？,68747,706,14534,1103,347,2249523,448,106,2021/12/9 20:00,2021/12/25 18:07,赛车 汽车,汽车 汽车生活,car,15.92197917
赛雷话车,163575,“电动汽车会毁掉日本”，日系为啥对转型纯电动这么抵触？,5511,276,333,48,360,65024,967,318,2021/12/23 10:26,2021/12/25 18:07,知识分享官 汽车,汽车 智能出行,car,2.320613426
极速车市,3531,刹车卡钳跟随轮毂一起转动，布加迪黑夜之声的新型高科技？,32216,103,2288,180,73,769159,157,70,2021/12/17 16:53,2021/12/25 18:07,汽车,汽车 汽车生活,car,8.051782407
WreckedDemon,45,肇事车辆心路历程全记录，最后还是难逃法网。交通安全  驾驶规则  车辆改装  双视角转换,3478,12,160,29,38,93895,59,114,2021/12/22 10:37,2021/12/25 18:08,汽车,汽车 汽车生活,car,3.312708333
极客十一月,55330,惨烈的车祸（49期）大家没什么事不要出门,3203,564,260,359,1821,78999,334,461,2021/12/22 23:36,2021/12/25 18:08,汽车,汽车 汽车生活,car,2.771956019
攀比兄弟,28619,20万的雷凌真的存在吗？,5046,709,205,93,81,103910,216,90,2021/12/22 10:55,2021/12/25 18:08,汽车,汽车 汽车生活,car,3.300694444
起飞警示,8063,精神小伙夜间飙车，时速超%300，当场起飞4圈半旋转1440,3763,292,204,151,316,84014,206,149,2021/12/23 15:03,2021/12/25 18:08,摩托车 汽车,汽车 汽车生活,car,2.128460648
追风与车,13570,好 家 伙 ！速11 没 你 我 不 看 ！,127216,15304,41724,26454,2386,1796187,1377,203,2021/11/28 0:16,2021/12/25 18:08,遇见热爱汽车的你 机械 汽车 必剪创作,汽车 汽车生活,car,27.74465278
电动汽车用户联盟,1800,欧拉好猫早高峰趴窝，车子完全失灵，方向盘被锁死,13931,65,500,706,227,446960,839,73,2021/12/16 9:43,2021/12/25 18:08,汽车,汽车 汽车生活,car,9.350972222
汽车碰撞测评,10524,取消龙门架射灯,116193,999,2742,260,564,2338765,2448,12,2021/12/2 8:43,2021/12/25 18:08,汽车,汽车 汽车生活,car,23.39219907
狗哥FastDog,214723,2000块买了一台拉力车，这声浪让我欲罢不能！,4784,1745,375,89,998,56483,320,812,2021/12/23 18:24,2021/12/25 18:08,赛车 汽车 搞笑,汽车 汽车生活,car,1.989039352
宇儿加个油,46540,月租2000北京二环胡同，无厕所、无暖气、24户，你愿意住么？,1240,21,759,63,48,77252,138,125,2021/12/23 19:00,2021/12/25 18:08,汽车,汽车 汽车生活,car,1.964328704
焊工大林子,287516,我是一名机车发烧友，今天我给小车库里制作一台柴火壁炉。,4318,1565,423,127,285,59030,227,347,2021/12/24 18:00,2021/12/25 18:08,机械 汽车,汽车 汽车极客,car,1.00599537
超跑爱丽丝Super,238964,世界只有一辆的保时捷，仅限一人乘坐！,19789,166,3086,646,830,747162,602,223,2021/12/18 16:30,2021/12/25 18:09,豪车 跑车 赛车 汽车,汽车 汽车生活,car,7.06869213
交通安全警示录,845,交通安全警示录第28期：来看看事故中摩托车骑士的刹车方式,20260,71,1786,288,1681,826440,2285,457,2021/12/16 21:30,2021/12/25 18:09,摩托车 汽车,汽车 汽车生活,car,8.859849537
这个车评不太冷,71632,40万买领克，你妈妈都要炸了！！！,2543,585,277,230,859,73506,404,860,2021/12/22 20:12,2021/12/25 18:09,豪车 汽车,汽车 汽车生活,car,2.914490741
虎哥说车V,187639,这普桑谁要谁拿走吧,4237,37,125,28,81,139612,101,163,2021/12/21 20:21,2021/12/25 18:09,汽车,汽车 汽车生活,car,3.907997685
边开边聊,75087,4阶影豹秒杀宝马？6阶影豹飙到450码？给大家聊聊这两天影豹火爆全网的背后解析。,1144,138,156,606,293,85455,473,404,2021/12/22 21:10,2021/12/25 18:09,汽车,汽车 汽车生活,car,2.874097222
阿w不到千粉不改名,364,骑士永远不会丢下他的战车即使遍体鳞伤！,3138,263,1604,36,19,635692,113,64,2021/8/20 23:35,2021/12/25 18:09,摩托车 赛车 汽车 必剪创作,汽车 摩托车,car,126.77375
小缸和阿灿,1516553,爱乱跑的赛亚人流落地球，竟然要靠这种方式回家..[第四集],41295,12753,7057,3162,1769,581897,956,787,2021/12/15 18:45,2021/12/25 18:09,汽车,汽车 汽车生活,car,9.97537037
晓波二手车,140767,同行小怡来批比亚迪汉，波哥化身月老秒变相亲会,2134,89,66,16,146,78819,125,189,2021/12/23 13:27,2021/12/25 18:09,汽车,汽车 汽车生活,car,2.196030093
成都中升之星,317,移动的大别墅，对吗？,41378,25,1058,255,13,671385,179,13,2021/12/1 19:19,2021/12/25 18:09,豪车 汽车,汽车 汽车文化,car,23.95143519
七哥撩车,86519,【七哥撩车】国产车卷起来了？星越L油电混动版一箱油跑了1400多公里？,2878,80,100,119,119,71147,530,107,2021/12/23 17:50,2021/12/25 18:09,遇见热爱汽车的你 汽车,汽车 购车攻略,car,2.013159722
山西友信五菱宝骏,33,这个上路肯定要出幺蛾子,13420,4,536,224,30,368768,138,13,2021/12/11 15:07,2021/12/25 18:09,人工智能 汽车 搞笑,汽车 汽车生活,car,14.12658565
咸阳剑道,801,秦岭跑山。遇到国宝金丝猴。啊。这猴子撸起来手感真好。完整视频晚一点给大家发。,8354,11,195,30,66,108174,162,35,2021/12/19 18:11,2021/12/25 18:10,汽车,汽车 摩托车,car,5.99880787
建林社会,61,宝马逆行怒怼我丰田，以为我开丰田不敢惹，监控拍下绝望的10秒,6185,2,103,11,14,259700,243,31,2021/12/14 15:48,2021/12/25 18:10,创作加成计划 汽车 搞笑,汽车 汽车生活,car,11.0984375
尼古拉斯大黄蜂,32917,狗头铡,653,2,97,100,12,80411,102,12,2021/12/24 8:00,2021/12/25 18:10,汽车,汽车 汽车生活,car,1.423738426
白宁的爱车时光,205974,带有中国元素的豪华车什么样？比亚迪汉哲匠制铜版（外观篇）,6035,1888,1017,656,1248,115304,658,614,2021/12/21 20:00,2021/12/25 18:10,汽车,汽车 汽车生活,car,3.923680556
自主品牌才是国家希望,36935,中国已经将汽车制造推进至全新时代！新三大件呼之欲出，up讲讲自己的思考,3719,675,277,122,495,51960,727,308,2021/12/24 13:49,2021/12/25 18:10,汽车 必剪创作,汽车 汽车文化,car,1.18087963
1万块为所欲为,201631,翻新一台19岁的大众Polo需要花多少钱？,3013,481,264,106,613,59971,214,522,2021/12/23 10:00,2021/12/25 18:10,机械 汽车,汽车 汽车生活,car,2.340451389
房车喵游记,79977,带四只猫房车旅行的这一年，我们经历了什么！,6982,95,286,89,24,56770,64,70,2021/12/24 17:31,2021/12/25 18:10,揭秘房车里的生活 汽车,汽车 汽车生活,car,1.027372685
开车大神,512777,开车冲进女厕所，司机冒雪尿一jio！,4304,524,219,113,194,52349,126,208,2021/12/24 18:45,2021/12/25 18:10,搞笑配音 汽车,汽车 汽车生活,car,0.975983796
小胡说车,243517,教你一招告别难用车机，这个“秘密武器”让车机去吃灰！,2041,108,226,68,342,268089,377,342,2021/12/20 17:30,2021/12/25 18:10,手机 汽车,汽车 汽车生活,car,5.028206019
李玉儿撩车,10459,街头画车 给浴皇大帝画蜘蛛侠,2586,30,1146,56,35,64727,96,110,2021/12/21 17:49,2021/12/25 18:10,蜘蛛侠 汽车,汽车 汽车生活,car,4.014756944
麦浪哥哥,27852,每个宾利车主都会遇到的问题,51272,46,1536,78,127,886751,234,33,2021/12/14 10:10,2021/12/25 18:10,豪车 汽车,汽车 汽车生活,car,11.33337963
ABV车比得,294605,动力电池是这样生产的，垠哥探访国轩高科,3863,1421,549,408,437,43671,297,1002,2021/12/25 9:00,2021/12/25 18:11,汽车,汽车 汽车极客,car,0.382673611
说车的二二二,142,华为到底给了AITO问界M5什么？鸿蒙座舱全网最详细解析,1778,335,276,434,545,65294,550,1229,2021/12/23 17:05,2021/12/25 18:11,汽车,汽车 汽车生活,car,2.045891204
